label,text
1,re urlaubspiraten kommt man nicht aber schon relativ günstig und schnell nach berlin mit der bahn
1,züge fahren wieder oberleitungsstörung in mülheim behoben http//tco/ejq4jdmvdk nrwverkehr  bahn
1,sbahn fährt nach streikende fast überall wieder tarife sbahn fährt nach streikende fast überall wieder 21052015 2159 uhr sbahn und regionalbahn am hauptbahnhof berlin foto paul zinken quelle dpa die berliner sbahn fährt nach ende des lokführerstreiks seit donnerstagabend wieder auf
0,es gibt außer afd pegida anderes hässliches dieses bahn klo regionalexpress ach kennt ihr https//tco/7eaj54rllv
1,schlichtung mit der gdl  matthias platzeck verkündet ende im bahntarifkonflikt http//tco/ehkeqey44e
0,der arme verspätungsalarm ganz verwirrt von der verfrühten abfahrt
1,deutsche bahn und gdl beenden lokführerstreik  volat  wirtschaft erleichterung für millionen deutsche bahnreisende der mittlerweile neunte lokführerstreik bei der deutschen bahn geht noch am donnerstag zu ende
0,re metronom eisenbahngesellschaft wegen einer stoerung an einem anderen zug muss 81525 von hamburg planm abfahrt dort 1706 uhr bis stade leider ausfallen fahrgaeste nutzen bis stade bitte die s bahn
0,wer kennt das tattoo des unbekannten bahntoten am 306 trat er nachts in köln auf die gleise wurde überfahren http//tco/qvlsyult7s
0,fußballfans randalieren in würzburg  polizei mit großaufgebot  region fußballfans randalieren in würzburg  polizei mit großaufgebot rund 200 eintrachtfrankfurtfans werfen mit gegenständen  vor 1 stunde würzburg  mehrere hundert fußballfans die während einer zugfahrt am würzburger südbahnhof ausgestiegen waren
1,klimatisierte sbahn �� s4
0,sind wir am sonntag auch nach 10 minuten fahrt standen wir dann 30 minuten in der pampa 
0,re polizei  radar kontrolle berlin/brandenburg bauarbeiten bei der sbahn am wochenende s 5 s 7 s 75 von freitag 262 22 uhr bis sonntag 282 betriebsschluss fahren die züge zwischen wartenberg und springpfuhl nur im 20minutentakt s 2 am samstag 272 und sonntag 282 ist die linie s 2 jeweils von 9 bis 15 uhr zwischen buch und bernau unterbrochen es fahren busse als umfahrung kann zwischen gesundbrunnen und bernau auch der re3 genutzt werden s 8 s 9 am samstag 272 von 16 bis 22 uhr kein zugverkehr zwischen schönhauser allee und bornholmer straße sie können diesen bereich über gesundbrunnen umfahren zwischen schönhauser allee und pankow kann auch die ubahnlinie u2 genutzt werden
0,re stuttgarternachrichtende sind wir heute wieder witzig da hat man dokumentiert dass der automat defekt ist und dann soll man an der nächsten haltestelle aussteigen um den nächsten automaten zu suchen klar kein problem und man muss dann keine 20/30 minuten auf die nächste bahn warten ���
0,wenn es net so traurig wäre für die leute die auf die bahn angewiesen sind  http//tco/oormjgsklb
0,re db bahn ha bei der bahn ist der sicherheit oberste gebot das ist gelogen man sehe mal ringsheim da ist nix zu sehen von sicherheit hat obersten gebot da hat die profitgier obersten gebot
0,danke und die verspätungszeit
0,umfrage einfaches preissystem bei bahn gefordert umfrage einfaches preissystem bei bahn gefordert berlin dpa  die bundesbürger wünschen sich ein einfaches und durchschaubares tarifsystem bei der deutschen bahn es sollte jedoch auch sonderkonditionen für studenten rentner und familien
0,mh in der bahn findet man jeden trend aber liebe jungs das ist wirklich nicht schön http//tco/bz4hqupd5q
1,service münchen störungsfreier verkehr bei bahn und sbahn ice612 wartet heut a minüterl auf fahrgäste aus einem anderen z…
0,re focus online sie finden es zum kotzen dass es bei der bahn sparpreise gibt sie können natürlich auch zum regulären preis fahren
0,ein hoch auf die deutsche bahn in den letzten 2 wochen bn ich nicht einmal pünktlich nach hause gekommen �
1,da hat aber irgendjemand noch schnell brrr ge da hat aber irgendjemand noch schnell brrr gesagt und die gdl kurz vor dem pfingstwochenende zum stehen gebracht der streik ihrer lokführer endet noch vor dem langen wochenende jetzt soll es eine schlichtung zwischen der gewerkschaft und der deu
0,bahnübergänge brücken bahnhöfe schlampt die bahn bei der sicherheit http//tco/gnqxphbqej
1,bahn fahren ist echt entspannend ich freu mich schon auf  und 
1,ich hab einen platz in der bahn bekommen heiligs blechle
0,re db bahn lukas andreattasolltest mal öfter mit der bahn fahren was nützt es wenn ich pünktlich bin und der zug kommt regelmäßig zu spät kopf einschalten dann posten
0,rbahn r1 richtung stuttgart hauptbahnhof oben mit der nächsten haltestelle geislingen steige hat 00500 verspätung
0,polizei und verkehr das geschah in der nacht zu freitag in berlin polizeiberichte  polizeimeldungen blieb unverletzt sbahn s1 fährt bis 31 august nicht zwischen frohnau und birkenwerder sev s2 bis 31 august zw blankenfelde und lichtenrade unterbrochen s41/s42 unterbrechung zw halensee und bundesplatz bis 31 august sev tram m5
0,züge von der westküste sollen künftig am diebsteich enden zug der nordostseebahn im bahnhof altona der geplante neue fernbahnhof am diebsteich bringt für bahnpendler von der westküste offenbar keine vorteile ihre züge sollen laut zeitungsbericht weiterhin nicht zum hauptbahnhof durchfahren sondern künf
0,wenn die leute in der bahn dreck labern ja
0,zudem lenken sie von massiven fehlplanungen bei stuttgart21nbs ab bahn
